STN code,Monitoring Location,Type Water Body,State Name,latitude,longitude,river_cluster
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,23.411517,85.402979,GANGA
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,23.455233,85.310539,GANGA
2401,RIVER AJAY AT MASANJORE DAM,RIVER,JHARKHAND,24.112461,87.310836,GANGA
3554,"RIVER KONAR NEAR SWANG COAL WASHERY, BOKARO",RIVER,JHARKHAND,23.79413,85.863369,GANGA
2390,RIVER KONAR AT TENUGHAT DAM,RIVER,JHARKHAND,23.780586,85.876131,GANGA
4000,RIVER GARGA NEAR TELMUCHO BRIDGE,RIVER,JHARKHAND,23.7127,86.192737,GANGA
2381,RIVER BOKARO AT ZARANGDIH BRIDGE,RIVER,JHARKHAND,23.770609,85.922067,GANGA
1034,"RIVER SANKH AT BOLBA, JHARKHAND",RIVER,JHARKHAND,22.460644,84.331716,MAHANADI
2392,RIVER BARAKAR AT MAITHAN DAM,RIVER,JHARKHAND,23.785806,86.813612,GANGA
3555,"RIVER DAMODAR NEAR ZARANGDIH BRIDGE, BOKARO",RIVER,JHARKHAND,23.771032,85.913316,GANGA
4083,"RIVER DAMODAR NEAR ROHINI PROJECT, NK AREA, PO-DAKRA, RANCHI",RIVER,JHARKHAND,23.68358,85.008402,GANGA
3553,RIVER DAMODAR NEAR TELMUCHO BRIDGE,RIVER,JHARKHAND,23.718122,86.201578,GANGA
1510,RIVER TONS AT TIUNI (HIMACHAL PRADESH/UTTRA KHAND BORDER),RIVER,HIMACHAL PRADESH,30.556089,77.777152,YAMUNA
30023,RIVER TONS AT HARIPUR (U.K.),RIVER,UTTARAKHAND,30.517139,77.818659,YAMUNA
4027,RIVER GIRI D/S RAJGARH TOWN,RIVER,HIMACHAL PRADESH,30.799381,77.282001,YAMUNA
4028,"RIVER GIRI D/S KALGIDHAR TRUST, BARU SAHIB",RIVER,HIMACHAL PRADESH,30.760455,77.303572,YAMUNA
4427,RIVER GIRI U/S CHAILLA,RIVER,HIMACHAL PRADESH,30.914863,77.243539,YAMUNA
2621,RIVER GIRI AT D/S YASHWANT NAGAR AFTER CONF. WITH ASHWANI KHAD AT YASHWANT NAGAR- NEAR SHANI MANDIR,RIVER,HIMACHAL PRADESH,30.882006,77.211344,YAMUNA
3876,RIVER GIRI AFTER CONFLUENCE OF ASHWANI RIVER AT VILLAGE MARYOG,RIVER,HIMACHAL PRADESH,30.891819,77.21002,YAMUNA
2622,RIVER GIRI AT U/S CCI MINES AT VILLAGE NADI,RIVER,HIMACHAL PRADESH,30.522537,77.667622,YAMUNA
2623,RIVER GIRI D/S SATAUN,RIVER,HIMACHAL PRADESH,30.552658,77.643922,YAMUNA
3877,RIVER GIRI U/S LWSS AT SAINJ,RIVER,HIMACHAL PRADESH,31.769476,77.306086,OTHER
3878,RIVER GIRI D/S LWSS AT SAINJ,RIVER,HIMACHAL PRADESH,31.785054,77.330491,OTHER
3860,"RIVER GIRI D/S CEMENT CORPORATION OF INDIA, RAJBAN AT BANGRAN BRIDGE",RIVER,HIMACHAL PRADESH,30.526326,77.66857,YAMUNA
1614,"RIVER BETWA NEAR WATER SUPPLY INTAKE WELL , VIDISHA(M.P)",RIVER,MADHYA PRADESH,23.541173,77.801938,NARMADA
2107,"RIVER BETWA AT U/S AT MAHUTA GHAT, AGASOD, BINA",RIVER,MADHYA PRADESH,25.767472,79.331309,YAMUNA
2108,"RIVER BETWA AT M/S J.P. THERMAL POWER, BINA",RIVER,MADHYA PRADESH,24.317042,78.127198,NARMADA
2124,"RIVER BETWA AT CHARANTIRGHAT, VIDISHA",RIVER,MADHYA PRADESH,23.540606,77.802246,NARMADA
2125,RIVER BETWA D/S AFTER MIXING OF RIVER BAIS AT VIDISHA,RIVER,MADHYA PRADESH,23.550512,77.79947,NARMADA
3832,RIVER BETWA AT U/S NEAR ROAD BRIDGE ORCHHA,RIVER,MADHYA PRADESH,25.393032,78.661879,YAMUNA
30080,"RIVER BETWA AT KANJIA ROAD BRIDGE, KANJIA DIST.ASHOK NAGAR (M.P.)",RIVER,MADHYA PRADESH,24.398043,78.17802,NARMADA
